Longitude	Latitude	Height
-10.0125	36.5125	46.948
-9.9875	36.5125	46.999
-9.9625	36.5125	47.049
-9.9375	36.5125	47.095
-9.9125	36.5125	47.138
-9.8875	36.5125	47.18
-9.8625	36.5125	47.224
-9.8375	36.5125	47.272
-9.8125	36.5125	47.327
-9.7875	36.5125	47.387
-9.7625	36.5125	47.452
-9.7375	36.5125	47.52
-9.7125	36.5125	47.587
-9.6875	36.5125	47.651
-9.6625	36.5125	47.711
-9.6375	36.5125	47.762
-9.6125	36.5125	47.803
-9.5875	36.5125	47.83
-9.5625	36.5125	47.846
-9.5375	36.5125	47.856
-9.5125	36.5125	47.853
-9.4875	36.5125	47.844
-9.4625	36.5125	47.833
-9.4375	36.5125	47.818
-9.4125	36.5125	47.803
-9.3875	36.5125	47.789
-9.3625	36.5125	47.776
-9.3375	36.5125	47.763
-9.3125	36.5125	47.748
-9.2875	36.5125	47.733
-9.2625	36.5125	47.717
-9.2375	36.5125	47.707
-9.2125	36.5125	47.701
-9.1875	36.5125	47.696
-9.1625	36.5125	47.693
-9.1375	36.5125	47.698
-9.1125	36.5125	47.717
-9.0875	36.5125	47.755
-9.0625	36.5125	47.807
-9.0375	36.5125	47.864
-9.0125	36.5125	47.92
-8.9875	36.5125	47.982
-8.9625	36.5125	48.046
-8.9375	36.5125	48.106
-8.9125	36.5125	48.164
-8.8875	36.5125	48.224
-8.8625	36.5125	48.28
-8.8375	36.5125	48.334
-8.8125	36.5125	48.386
-8.7875	36.5125	48.436
-8.7625	36.5125	48.476
-8.7375	36.5125	48.5
-8.7125	36.5125	48.508
-8.6875	36.5125	48.502
-8.6625	36.5125	48.494
-8.6375	36.5125	48.485
-8.6125	36.5125	48.48
-8.5875	36.5125	48.484
-8.5625	36.5125	48.494
-8.5375	36.5125	48.508
-8.5125	36.5125	48.531
-8.4875	36.5125	48.564
-8.4625	36.5125	48.609
-8.4375	36.5125	48.658
-8.4125	36.5125	48.705
-8.3875	36.5125	48.751
-8.3625	36.5125	48.797
-8.3375	36.5125	48.843
-8.3125	36.5125	48.886
-8.2875	36.5125	48.925
-8.2625	36.5125	48.961
-8.2375	36.5125	48.992
-8.2125	36.5125	49.019
-8.1875	36.5125	49.039
-8.1625	36.5125	49.055
-8.1375	36.5125	49.067
-8.1125	36.5125	49.08
-8.0875	36.5125	49.095
-8.0625	36.5125	49.112
-8.0375	36.5125	49.127
-8.0125	36.5125	49.139
-7.9875	36.5125	49.147
-7.9625	36.5125	49.153
-7.9375	36.5125	49.156
-7.9125	36.5125	49.158
-7.8875	36.5125	49.157
-7.8625	36.5125	49.156
-7.8375	36.5125	49.153
-7.8125	36.5125	49.15
-7.7875	36.5125	49.146
-7.7625	36.5125	49.139
-7.7375	36.5125	49.126
-7.7125	36.5125	49.103
-7.6875	36.5125	49.068
-7.6625	36.5125	49.023
-7.6375	36.5125	48.967
-7.6125	36.5125	48.898
-7.5875	36.5125	48.815
-7.5625	36.5125	48.724
-7.5375	36.5125	48.629
-7.5125	36.5125	48.524
-7.4875	36.5125	48.414
-7.4625	36.5125	48.295
-7.4375	36.5125	48.169
-7.4125	36.5125	48.039
-7.3875	36.5125	47.907
-7.3625	36.5125	47.78
-7.3375	36.5125	47.659
-7.3125	36.5125	47.546
-7.2875	36.5125	47.439
-7.2625	36.5125	47.342
-7.2375	36.5125	47.252
-7.2125	36.5125	47.167
-7.1875	36.5125	47.088
-7.1625	36.5125	47.012
-7.1375	36.5125	46.939
-7.1125	36.5125	46.867
-7.0875	36.5125	46.795
-7.0625	36.5125	46.725
-7.0375	36.5125	46.659
-7.0125	36.5125	46.594
-6.9875	36.5125	46.528
-6.9625	36.5125	46.461
-6.9375	36.5125	46.393
-6.9125	36.5125	46.325
-6.8875	36.5125	46.258
-6.8625	36.5125	46.191
-6.8375	36.5125	46.127
-6.8125	36.5125	46.067
-6.7875	36.5125	46.008
-6.7625	36.5125	45.945
-6.7375	36.5125	45.879
-6.7125	36.5125	45.81
-6.6875	36.5125	45.743
-6.6625	36.5125	45.677
-6.6375	36.5125	45.611
-6.6125	36.5125	45.545
-6.5875	36.5125	45.481
-6.5625	36.5125	45.42
-6.5375	36.5125	45.362
-6.5125	36.5125	45.306
-6.4875	36.5125	45.249
-6.4625	36.5125	45.192
-6.4375	36.5125	45.138
-6.4125	36.5125	45.089
-6.3875	36.5125	45.049
-6.3625	36.5125	45.016
-6.3375	36.5125	44.989
-6.3125	36.5125	44.974
-6.2875	36.5125	44.973
-6.2625	36.5125	44.964
-6.2375	36.5125	44.954
-6.2125	36.5125	44.944
-6.1875	36.5125	44.93
-6.1625	36.5125	44.915
-6.1375	36.5125	44.908
-6.1125	36.5125	44.893
-6.0875	36.5125	44.883
-6.0625	36.5125	44.881
-6.0375	36.5125	44.884
-6.0125	36.5125	44.887
-5.9875	36.5125	44.884
-10.0125	36.5375	47.19
-9.9875	36.5375	47.241
-9.9625	36.5375	47.29
-9.9375	36.5375	47.333
-9.9125	36.5375	47.374
-9.8875	36.5375	47.412
-9.8625	36.5375	47.451
-9.8375	36.5375	47.493
-9.8125	36.5375	47.543
-9.7875	36.5375	47.599
-9.7625	36.5375	47.66
-9.7375	36.5375	47.724
-9.7125	36.5375	47.786
-9.6875	36.5375	47.849
-9.6625	36.5375	47.908
-9.6375	36.5375	47.959
-9.6125	36.5375	48.002
-9.5875	36.5375	48.032
-9.5625	36.5375	48.05
-9.5375	36.5375	48.06
-9.5125	36.5375	48.064
-9.4875	36.5375	48.06
-9.4625	36.5375	48.054
-9.4375	36.5375	48.043
-9.4125	36.5375	48.031
-9.3875	36.5375	48.018
-9.3625	36.5375	48.006
-9.3375	36.5375	47.996
-9.3125	36.5375	47.985
-9.2875	36.5375	47.969
-9.2625	36.5375	47.953
-9.2375	36.5375	47.939
-9.2125	36.5375	47.933
-9.1875	36.5375	47.928
-9.1625	36.5375	47.922
-9.1375	36.5375	47.917
-9.1125	36.5375	47.922
-9.0875	36.5375	47.947
-9.0625	36.5375	47.985
-9.0375	36.5375	48.031
-9.0125	36.5375	48.085
-8.9875	36.5375	48.148
-8.9625	36.5375	48.216
-8.9375	36.5375	48.286
-8.9125	36.5375	48.357
-8.8875	36.5375	48.427
-8.8625	36.5375	48.487
-8.8375	36.5375	48.541
-8.8125	36.5375	48.587
-8.7875	36.5375	48.626
-8.7625	36.5375	48.653
-8.7375	36.5375	48.667
-8.7125	36.5375	48.665
-8.6875	36.5375	48.655
-8.6625	36.5375	48.644
-8.6375	36.5375	48.635
-8.6125	36.5375	48.634
-8.5875	36.5375	48.639
-8.5625	36.5375	48.641
-8.5375	36.5375	48.643
-8.5125	36.5375	48.657
-8.4875	36.5375	48.684
-8.4625	36.5375	48.72
